space	lexicon_index	word	pc1	pc2
glove	371	k	-0.23784731328487396	-0.06348422169685364
glove	372	y	-0.14423273503780365	-0.17852775752544403
glove	373	insurance	-0.4368925094604492	0.027909833937883377
glove	374	another	-0.6973650455474854	-0.01837729476392269
glove	375	why	-0.607994556427002	0.061847615987062454
glove	376	shall	-0.30055996775627136	0.17898526787757874
glove	377	property	-0.45883241295814514	0.05246758833527565
glove	378	class	-0.43444642424583435	0.0008988745976239443
glove	379	cd	-0.2781941294670105	0.0012461295118555427
glove	380	still	-0.6872780323028564	0.1113603413105011
glove	381	money	-0.5763289928436279	0.08141350746154785
glove	382	quality	-0.466660737991333	0.2563742697238922
glove	383	every	-0.6157077550888062	0.14439277350902557
glove	384	listing	-0.3192158639431	0.12674535810947418
glove	385	content	-0.37576743960380554	0.28043314814567566
glove	386	country	-0.663187563419342	0.09330160915851593
glove	387	private	-0.5449766516685486	0.012128655798733234
glove	388	little	-0.5360391139984131	0.07156775146722794
glove	389	visit	-0.5129148960113525	-0.12369438260793686
glove	390	save	-0.4530172049999237	0.023826345801353455
glove	391	tools	-0.3203716576099396	0.25109562277793884
glove	392	low	-0.5138388872146606	0.1833704710006714
glove	393	reply	-0.19596929848194122	0.0051935166120529175
glove	394	customer	-0.3712810277938843	0.13964992761611938
glove	395	december	-0.576030433177948	-0.2456006556749344
glove	396	compare	-0.24588611721992493	0.18477438390254974
glove	397	movies	-0.3745819926261902	0.05413512885570526
glove	398	include	-0.5418267846107483	-0.006517977453768253
glove	399	college	-0.45321205258369446	-0.250090628862381
glove	400	value	-0.4841215908527374	0.23492127656936646
glove	401	article	-0.40200772881507874	-0.03233933448791504
glove	402	york	-0.5355782508850098	-0.23832707107067108
glove	403	man	-0.5185399055480957	-0.12377461791038513
glove	404	card	-0.3992640972137451	0.015545709989964962
glove	405	jobs	-0.4931108355522156	0.1275758594274521
glove	406	provide	-0.5887667536735535	0.27702242136001587
glove	407	j	-0.18347494304180145	-0.2557521462440491
glove	408	food	-0.4848940968513489	0.1372198909521103
glove	409	source	-0.4942903518676758	0.15339283645153046
glove	410	author	-0.3503195643424988	-0.3028222322463989
glove	411	different	-0.5996987819671631	0.21060536801815033
glove	412	press	-0.500514566898346	-0.144690603017807
glove	413	u	-0.2003530114889145	-0.024706142023205757
glove	414	learn	-0.44250619411468506	0.13457565009593964
glove	415	sale	-0.46899840235710144	0.014951531775295734
glove	416	around	-0.5963716506958008	0.0647757276892662
glove	417	print	-0.32450002431869507	0.12620066106319427
glove	418	course	-0.5258246660232544	0.07420538365840912
glove	419	job	-0.5729584097862244	0.009580282494425774
glove	420	canada	-0.47919732332229614	-0.147501140832901
