state_id	convention	stratum	condition	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	CORRECT_TO_CORRECT	WRONG_TO_WRONG
W4_SRC	freear	ALL_REPETITION_ITEMS	S2	29571	29571	1	3647	0	25924	0
W4_SRC	freear	ALL_REPETITION_ITEMS	S3	29571	23867	0.8071083156	488	2545	23379	3159
W4_SRC	freear	C_POPULATION	S0	27981	24367	0.8708409278	NA	NA	NA	NA
W4_SRC	freear	C_POPULATION	S1	27981	27939	0.9984989815	3609	37	24330	5
W4_SRC	freear	C_POPULATION	S2	27981	27981	1	3614	0	24367	0
W4_SRC	freear	C_POPULATION	S3	27981	22384	0.7999714092	481	2464	21903	3133
W4_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S0	1590	1557	0.979245283	NA	NA	NA	NA
W4_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S1	1590	1581	0.9943396226	33	9	1548	0
W4_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S2	1590	1590	1	33	0	1557	0
W4_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S3	1590	1483	0.9327044025	7	81	1476	26
W4_SRC	freear	NATIVE_LTM_WRONG	S0	3647	0	0	NA	NA	NA	NA
W4_SRC	freear	NATIVE_LTM_WRONG	S1	3647	3642	0.9986290101	3642	0	0	5
W4_SRC	freear	NATIVE_LTM_WRONG	S2	3647	3647	1	3647	0	0	0
W4_SRC	freear	NATIVE_LTM_WRONG	S3	3647	488	0.1338086098	488	0	0	3159
W4_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S0	3609	0	0	NA	NA	NA	NA
W4_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S1	3609	3609	1	3609	0	0	0
W4_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S2	3609	3609	1	3609	0	0	0
W4_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S3	3609	479	0.1327237462	479	0	0	3130
W4_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S0	5	0	0	NA	NA	NA	NA
W4_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S1	5	0	0	0	0	0	5
W4_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S2	5	5	1	5	0	0	0
W4_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S3	5	2	0.4	2	0	0	3
W4_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S0	37	37	1	NA	NA	NA	NA
W4_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S1	37	0	0	0	37	0	0
W4_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S2	37	37	1	0	0	37	0
W4_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S3	37	25	0.6756756757	0	12	25	0
W4_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W4_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W4_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W4_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W4_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S0	3609	0	0	NA	NA	NA	NA
W4_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S1	3609	3609	1	3609	0	0	0
W4_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S2	3609	3609	1	3609	0	0	0
W4_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S3	3609	479	0.1327237462	479	0	0	3130
W4_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S0	38	0	0	NA	NA	NA	NA
W4_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S1	38	33	0.8684210526	33	0	0	5
W4_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S2	38	38	1	38	0	0	0
W4_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S3	38	9	0.2368421053	9	0	0	29
W4_SRC	canonical	ALL_REPETITION_ITEMS	S0	29571	25924	0.8766697102	NA	NA	NA	NA
W4_SRC	canonical	ALL_REPETITION_ITEMS	S1	29571	29520	0.9982753373	3642	46	25878	5
W4_SRC	canonical	ALL_REPETITION_ITEMS	S2	29571	29571	1	3647	0	25924	0
W4_SRC	canonical	ALL_REPETITION_ITEMS	S3	29571	23867	0.8071083156	488	2545	23379	3159
W4_SRC	canonical	C_POPULATION	S0	27981	24367	0.8708409278	NA	NA	NA	NA
W4_SRC	canonical	C_POPULATION	S1	27981	27939	0.9984989815	3609	37	24330	5
W4_SRC	canonical	C_POPULATION	S2	27981	27981	1	3614	0	24367	0
W4_SRC	canonical	C_POPULATION	S3	27981	22384	0.7999714092	481	2464	21903	3133
W4_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S0	1590	1557	0.979245283	NA	NA	NA	NA
W4_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S1	1590	1581	0.9943396226	33	9	1548	0
W4_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S2	1590	1590	1	33	0	1557	0
W4_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S3	1590	1483	0.9327044025	7	81	1476	26
W4_SRC	canonical	NATIVE_LTM_WRONG	S0	3647	0	0	NA	NA	NA	NA
W4_SRC	canonical	NATIVE_LTM_WRONG	S1	3647	3642	0.9986290101	3642	0	0	5
W4_SRC	canonical	NATIVE_LTM_WRONG	S2	3647	3647	1	3647	0	0	0
W4_SRC	canonical	NATIVE_LTM_WRONG	S3	3647	488	0.1338086098	488	0	0	3159
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S0	3609	0	0	NA	NA	NA	NA
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S1	3609	3609	1	3609	0	0	0
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S2	3609	3609	1	3609	0	0	0
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S3	3609	479	0.1327237462	479	0	0	3130
W4_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S0	5	0	0	NA	NA	NA	NA
W4_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S1	5	0	0	0	0	0	5
W4_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S2	5	5	1	5	0	0	0
W4_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S3	5	2	0.4	2	0	0	3
W4_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S0	37	37	1	NA	NA	NA	NA
W4_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S1	37	0	0	0	37	0	0
W4_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S2	37	37	1	0	0	37	0
W4_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S3	37	25	0.6756756757	0	12	25	0
W4_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W4_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W4_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W4_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W4_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S0	3609	0	0	NA	NA	NA	NA
W4_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S1	3609	3609	1	3609	0	0	0
W4_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S2	3609	3609	1	3609	0	0	0
W4_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S3	3609	479	0.1327237462	479	0	0	3130
