seed	route	factor	repeat	r2_drop	mae_increase
19	full	lexicality	34	0.014602916093277907	0.00033543954063232004
19	full	lexicality	35	0.0002663827571868227	0.00033791261730399536
19	full	lexicality	36	0.00775796946615126	0.000631102119691293
19	full	lexicality	37	0.00799681676650088	0.0012441169512243423
19	full	lexicality	38	0.007628250843493278	0.0004986502710349165
19	full	lexicality	39	0.014724329408834724	0.0004935962577374622
19	full	lexicality	40	0.015612782972129535	0.0015624816872731769
19	full	lexicality	41	0.00042838272645384645	0.00043909640073764786
19	full	lexicality	42	0.014566482093118394	0.0002561292129218268
19	full	lexicality	43	0.014932081835018152	0.0007765887840474953
